;Auto tune data
Tue Oct 31 09:41:46 1995
Auto tune data.
        Time, itc503.default.Tset, itc503.default.T1
           s,            K,            K
 
         7:0          4:0          4:0 
4.5101110E+03   9.9750E+01   9.9770E+01 
4.5121990E+03   9.9750E+01   9.9770E+01 
4.5141760E+03   9.9750E+01   9.9770E+01 
4.5162080E+03   9.9750E+01   9.9770E+01 
4.5182950E+03   9.9750E+01   9.9770E+01 
4.5202730E+03   9.9750E+01   9.9770E+01 
4.5223600E+03   9.9750E+01   9.9760E+01 
4.5243920E+03   9.9750E+01   9.9760E+01 
4.5264240E+03   9.9750E+01   9.9750E+01 
4.5284560E+03   9.9750E+01   9.9720E+01 
4.5304890E+03   9.9750E+01   9.9720E+01 
4.5325210E+03   9.9750E+01   9.9710E+01 
4.5345530E+03   9.9750E+01   9.9710E+01 
4.5365850E+03   9.9750E+01   9.9710E+01 
4.5386170E+03   9.9750E+01   9.9720E+01 
4.5406500E+03   9.9750E+01   9.9720E+01 
4.5426820E+03   9.9750E+01   9.9720E+01 
